,flops,loss,acc1,acc5,algo,model
0,167.2958526611328,0.584175166878913,86.92084056653573,98.0815122451358,baseline,ViT-H-14
0,48.54642105102539,1.0496685612721617,77.86196180509769,93.62946278978852,DiffRate,ViT-H-14
0,61.94112777709961,0.7779879081641731,83.19382871118661,96.41148446541969,DiffRate,ViT-H-14
0,83.1345443725586,0.660972599991456,85.42392595655159,97.46237998588398,DiffRate,ViT-H-14
0,117.11845397949219,0.6088832823374865,86.53388304807599,97.84322778557238,DiffRate,ViT-H-14
0,47.23176448000322,0.9282876346154115,79.67862529237607,94.55001458169798,PiToMe,ViT-H-14
0,60.709793279997,0.7237015440847678,83.937194403756,96.73327030668152,PiToMe,ViT-H-14
0,82.11839487999964,0.6387827971901324,85.75385810530567,97.58050390491248,PiToMe,ViT-H-14
0,116.58830335999637,0.5996856180337197,86.61534776149807,97.896179888181,PiToMe,ViT-H-14
0,47.22883605957031,0.9718420185921809,79.58086760472709,94.92475248423689,ToMe,ViT-H-14
0,60.904502868652344,0.7853816591050293,83.3730511187837,96.66198862356697,ToMe,ViT-H-14
0,82.29314422607422,0.6800799370406699,85.30376544414072,97.47052645450702,ToMe,ViT-H-14
0,116.78301239013672,0.6138666823884407,86.43408874653427,97.89821651186278,ToMe,ViT-H-14
0,61.55549621582031,0.645510686240759,85.97177637482109,97.55606447076393,baseline,ViT-L-16
0,22.755573272705078,1.0123283369179938,79.24075240375666,94.2119358488723,DiffRate,ViT-L-16
0,28.344711303710938,0.8320540856005053,82.4402798425617,96.02045361693334,DiffRate,ViT-L-16
0,35.89133834838867,0.7397581178571778,84.17344220809515,96.93082236439552,DiffRate,ViT-L-16
0,47.1150016784668,0.6800145027158674,85.32209504096174,97.38295183414641,DiffRate,ViT-L-16
0,22.087583744000842,0.9298113573771586,81.40364115448101,95.37891854939011,PiToMe,ViT-L-16
0,27.747463167998887,0.7931789465359027,83.82518046780304,96.66606188615795,PiToMe,ViT-L-16
0,35.41968895999908,0.7182385924069409,85.08381067493808,97.22613216087908,PiToMe,ViT-L-16
0,46.8795555839991,0.6714155499057731,85.66424695589069,97.5071856111682,PiToMe,ViT-L-16
0,22.05227279663086,1.0256690573682128,80.60732331035778,95.45223687358919,ToMe,ViT-L-16
0,27.645620346069336,0.8560099466964007,83.02478940242037,96.62329286932811,ToMe,ViT-L-16
0,35.51128005981445,0.7465728700093016,84.70703625204617,97.1731800452184,ToMe,ViT-L-16
0,47.03550720214844,0.6803713530692842,85.53593998045055,97.4725630825395,ToMe,ViT-L-16
0,17.564416885375977,0.7286810693368231,83.7824114477102,96.54793794320068,baseline,ViT-B-16
0,9.880146026611328,0.9273368621854581,80.02892366831435,94.80051875507264,DiffRate,ViT-B-16
0,11.400763511657715,0.8450609026020106,81.44844674060904,95.52555514558003,DiffRate,ViT-B-16
0,13.107222557067871,0.7895125414551731,82.53600098157823,95.98583106872654,DiffRate,ViT-B-16
0,15.2506103515625,0.7485413681885638,83.36694128798219,96.3972281409787,DiffRate,ViT-B-16
0,9.472257024000283,0.8373188425275999,81.57879026141862,95.48685937176309,PiToMe,ViT-B-16
0,11.050163712000238,0.7859827373877695,82.62968532506085,96.00619726856358,PiToMe,ViT-B-16
0,12.834284543999019,0.7546273228949193,83.16327940490503,96.28521407124215,PiToMe,ViT-B-16
0,15.088937471999511,0.7362841389470117,83.54209047758283,96.49905907490358,PiToMe,ViT-B-16
0,9.567378997802734,0.8533965831870975,81.26922425034891,95.53981148089774,ToMe,ViT-B-16
0,11.107876777648926,0.8012090442062886,82.38121789283649,95.99397753952492,ToMe,ViT-B-16
0,12.951247215270996,0.7640205965660929,82.96572744725681,96.24244507834109,ToMe,ViT-B-16
0,15.205900192260742,0.738720150895952,83.54820030077065,96.43185065220467,ToMe,ViT-B-16
