,flops,loss,acc1,acc5,algo,model,usr_k
0,9.744050979614258,0.9490283643968956,79.61141320950694,94.27506568094336,ToMe,DeiT-B-16,False
0,11.197975158691406,0.8920191063158146,80.56862385694792,94.84735545100915,ToMe,DeiT-B-16,False
0,12.94049072265625,0.8560940802764311,81.24681778375187,95.11007922445572,ToMe,DeiT-B-16,False
0,15.035991668701172,0.8281537831314704,81.63581189792468,95.44815787865828,ToMe,DeiT-B-16,False
0,2.5374321937561035,1.020435490509986,77.3772428260117,93.86977861958005,ToMe,DeiT-B-16,False
0,2.916064739227295,0.9638183508617831,78.43221115659559,94.3606036536934,ToMe,DeiT-B-16,False
0,3.3725814819335938,0.9221964998441698,79.23667542412578,94.70682878149121,ToMe,DeiT-B-16,False
0,3.925678014755249,0.8924046453478862,79.72342722144153,94.87383149019368,ToMe,DeiT-B-16,False
0,0.6850678324699402,1.461398697821073,67.71145190525651,88.66825522901775,ToMe,DeiT-B-16,False
0,0.7873015999794006,1.3676085578218966,69.59328730575751,89.66619824443494,ToMe,DeiT-B-16,False
0,0.9118747711181641,1.2939460056844345,70.78674568746054,90.31995275045315,ToMe,DeiT-B-16,False
0,1.0647594928741455,1.241762143124884,71.77246899248487,90.87391295492964,ToMe,DeiT-B-16,False
0,14.76531982421875,0.8334703704651107,81.5237978859901,95.39724241868801,ToMe,DeiT-B-16,True
0,13.104515075683594,0.8564514894936601,81.14702348221014,95.16099468442597,ToMe,DeiT-B-16,True
0,10.911869049072266,0.9135241461188238,80.19795930836439,94.68442597910429,ToMe,DeiT-B-16,True
0,9.824872016906738,0.9654924738564787,79.4321907904116,94.29950510172908,ToMe,DeiT-B-16,True
0,3.7076950073242188,0.9079373363378938,79.42811755361397,94.79440337264006,ToMe,DeiT-B-16,True
0,3.4167520999908447,0.9278633162788554,79.09003889941141,94.57648520396734,ToMe,DeiT-B-16,True
0,2.8441927433013916,1.004347376699729,77.9923015824525,94.04085456508014,ToMe,DeiT-B-16,True
0,2.702995777130127,1.0372135410898213,77.38742591800575,93.84330258039552,ToMe,DeiT-B-16,True
0,1.0045009851455688,1.2683698416726392,71.36514531272276,90.66617787825095,ToMe,DeiT-B-16,True
0,0.9244999289512634,1.302979292486352,70.74397670108551,90.28736685607218,ToMe,DeiT-B-16,True
0,0.7691611647605896,1.4362011595514517,68.57497810635222,89.13667746074418,ToMe,DeiT-B-16,True
0,0.73129802942276,1.4963316852539505,67.8234659171911,88.52161870430338,ToMe,DeiT-B-16,True
