,test/r1_i2t,test/r5_i2t,test/r10_i2t,test/r_i2t,test/r1_t2i,test/r5_t2i,test/r10_t2i,test/r_t2i,test/r_all,eval memory,gflops,sample/sec,algo,use k,model,epoch
0,52.04,76.8,84.26,213.10000000000002,32.79888044782087,58.10075969612155,68.8484606157537,159.74810075969611,372.84810075969614,0.888324873096447,15.431559168,56.28186204445419,PiToMe,True,CLIP_B,
0,50.5,75.16,83.26,208.92000000000002,32.18712514994002,57.00519792083167,67.96081567373051,157.1531387445022,366.0731387445022,0.7766497461928934,13.440534528,61.881314693486765,PiToMe,True,CLIP_B,
0,48.8,73.56,82.2,204.56,30.58376649340264,55.529788084766096,66.45741703318673,152.57097161135545,357.13097161135545,0.6928934010152276,11.963587584,62.94389695443642,PiToMe,True,CLIP_B,
0,44.26,68.8,78.14,191.2,27.077169132347063,51.051579368252696,62.12714914034386,140.2558976409436,331.4558976409436,0.6091370558375643,10.500630528,66.49799954459941,PiToMe,True,CLIP_B,
0,49.62,73.42,82.38,205.42,31.283486605357858,56.04158336665334,67.00119952019192,154.3262694922031,359.7462694922031,0.888324873096447,15.431559168,69.62039467454203,ToMe,True,CLIP_B,
0,46.86,71.88,80.92,199.66,30.151939224310276,54.83406637345062,65.73770491803279,150.7237105157937,350.3837105157937,0.7766497461928934,13.440534528,73.99109281668596,ToMe,True,CLIP_B,
0,45.14,69.42,78.66,193.22,28.48860455817673,52.630947620951616,63.750499800079965,144.8700519792083,338.0900519792083,0.6928934010152276,11.963587584,72.99405512603661,ToMe,True,CLIP_B,
0,38.78,64.42,73.84,177.04000000000002,23.5265893642543,46.93722510995602,58.63254698120752,129.09636145541785,306.13636145541784,0.6091370558375643,10.500630528,76.05858551352384,ToMe,True,CLIP_B,
0,55.74,79.36,86.54,221.64,36.165533786485405,60.8156737305078,71.07556977209116,168.05677728908438,389.69677728908437,0.7762645914396888,62.262124544,39.12838369892137,PiToMe,True,CLIP_L,
0,51.86,75.62,83.52,211.0,32.95481807277089,57.68492602958816,68.26469412235106,158.90443822471013,369.9044382247101,0.597276264591441,47.70435072,38.27616578711085,PiToMe,True,CLIP_L,
0,27.48,49.64,60.16,137.28,16.213514594162334,35.26189524190324,45.86165533786485,97.33706517393043,234.6170651739304,0.5084306095979235,40.582160384,40.548424228135914,PiToMe,True,CLIP_L,
0,4.64,11.3,15.86,31.8,5.4578168732506995,14.702119152339064,21.127548980407838,41.2874850059976,73.0874850059976,0.4691958495460446,37.44948224,43.50466203097965,PiToMe,True,CLIP_L,
0,54.4,78.56,86.32,219.28,35.00599760095962,60.00799680127949,70.343862455018,165.3578568572571,384.6378568572571,0.7762645914396888,62.262124544,39.987960549238856,ToMe,True,CLIP_L,
0,48.86,73.64,81.76,204.26,30.239904038384648,54.75409836065574,65.79768092762895,150.79168332666933,355.0516833266693,0.597276264591441,47.70435072,60.42817656673646,ToMe,True,CLIP_L,
0,16.62,34.52,44.28,95.42,11.847261095561775,27.636945221911237,37.117153138744506,76.60135945621752,172.0213594562175,0.5084306095979235,40.582160384,64.202071553028,ToMe,True,CLIP_L,
0,0.92,3.34,5.16,9.42,2.810875649740104,8.108756497401039,12.65093962415034,23.570571771291483,32.990571771291485,0.4691958495460446,37.44948224,66.50835337335,ToMe,True,CLIP_L,
0,75.86,93.38,96.54,265.78000000000003,56.75329868052779,81.6673330667733,88.6765293882447,227.09716113554578,492.87716113554586,0.8665511265164654,47.118379008,54.64029248368447,PiToMe,True,BLIP,
0,74.62,92.76,96.3,263.68,55.773690523790485,80.89964014394242,88.18072770891644,224.85405837664933,488.53405837664934,0.7712305025996514,41.572435968,58.70273163789179,PiToMe,True,BLIP,
0,71.04,90.78,95.34,257.15999999999997,52.48700519792083,78.56057576969212,86.38544582167133,217.43302678928427,474.59302678928424,0.6663778162911602,35.65143552,62.336707202029366,PiToMe,True,BLIP,
0,67.04,87.74,93.38,248.16,48.92842862854858,75.06997201119552,83.82646941223511,207.8248700519792,455.98487005197916,0.6091854419410737,32.501074944,64.25568853874722,PiToMe,True,BLIP,
0,71.28,90.86,95.2,257.34,52.75489804078369,78.12874850059976,85.78968412634946,216.6733306677329,474.01333066773293,0.8665511265164654,47.118379008,55.28612705850006,ToMe,True,BLIP,
0,67.52,88.88,93.82,250.21999999999997,50.29988004798081,76.24550179928029,84.37824870051979,210.92363054778087,461.1436305477809,0.7712305025996514,41.572435968,58.2160512511069,ToMe,True,BLIP,
0,62.0,84.04,90.24,236.28000000000003,45.85765693722511,72.52698920431827,81.4234306277489,199.80807676929228,436.08807676929234,0.6663778162911602,35.65143552,61.976178007057186,ToMe,True,BLIP,
0,56.92,80.64,87.9,225.46,43.23470611755298,70.11595361855258,79.29628148740504,192.64694122351062,418.1069412235106,0.6091854419410737,32.501074944,64.79149290100604,ToMe,True,BLIP,
0,72.76,94.0,97.36,264.12,62.49500199920032,85.61375449820072,91.53538584566174,239.64414234306275,503.76414234306276,0.663220088626291,440.722943232,14.64046110471364,PiToMe,True,BLIP2,0.0
0,38.22,64.9,75.84,178.96,34.05037984806078,59.30427828868453,69.52419032387046,162.87884846061576,341.8388484606158,0.4955497481346805,328.095218176,18.80633276625843,PiToMe,True,BLIP2,0.0
0,11.16,25.4,33.34,69.9,13.534586165533787,27.69292283086765,35.57377049180328,76.80127948820473,146.70127948820473,0.4704010907851383,311.44771328,19.637218541791366,PiToMe,True,BLIP2,0.0
0,71.74,93.72,97.0,262.46,61.551379448220715,85.06197520991603,91.13154738104758,237.74490203918435,500.20490203918433,0.663220088626291,440.722943232,14.667726461902468,ToMe,True,BLIP2,0.0
0,31.4,59.64,72.34,163.38,31.503398640543782,56.837265093962415,67.57297081167533,155.91363454618153,319.2936345461816,0.4955497481346805,328.095218176,18.867840670520035,ToMe,True,BLIP2,0.0
0,2.58,6.88,9.6,19.060000000000002,5.333866453418633,11.971211515393842,15.85765693722511,33.162734906037585,52.22273490603759,0.4704010907851383,311.44771328,19.708400381442022,ToMe,True,BLIP2,0.0
0,46.68,70.86,80.16,197.7,29.452219112355056,53.882447021191524,65.17792882846861,148.51259496201519,346.2125949620152,0.6095600676818961,10.496008704,90.91783126806793,PiToMe,False,CLIP_B,
0,48.66,74.12,82.6,205.38,31.00359856057577,55.88564574170332,67.02119152339064,153.91043582566974,359.29043582566976,0.69035532994924,11.913403392,88.76019898535019,PiToMe,False,CLIP_B,
0,50.82,75.46,83.68,209.96,32.131147540983605,57.16113554578169,67.9248300679728,157.21711315473812,367.1771131547381,0.7791878172588852,13.48366848,87.70357563810067,PiToMe,False,CLIP_B,
0,52.1,76.78,84.22,213.1,32.83086765293883,58.080767692922834,68.85245901639344,159.7640943622551,372.86409436225506,0.8887478849407793,15.439108608,84.68097660139432,PiToMe,False,CLIP_B,
0,43.66,68.68,77.96,190.3,27.0171931227509,50.667732906837266,62.24310275889644,139.9280287884846,330.2280287884846,0.6095600676818961,10.496008704,92.27238041540161,ToMe,False,CLIP_B,
0,45.62,70.58,80.08,196.27999999999997,28.42862854858057,53.154738104758096,64.55817672930827,146.14154338264694,342.4215433826469,0.69035532994924,11.913403392,89.27189293764881,ToMe,False,CLIP_B,
0,47.66,72.06,81.08,200.8,30.095961615353858,54.51819272291083,65.57776889244302,150.1919232307077,350.99192323070776,0.7791878172588852,13.48366848,87.33716692801784,ToMe,False,CLIP_B,
0,49.62,73.48,82.56,205.66,31.303478608556578,56.0375849660136,67.10515793682526,154.44622151139544,360.10622151139546,0.8887478849407793,15.439108608,84.50890113637819,ToMe,False,CLIP_B,
0,38.4,62.52,72.4,173.32,24.326269492203117,47.26909236305478,58.188724510195925,129.78408636545382,303.10408636545384,0.39623865110246465,31.483457536,69.72202496970021,PiToMe,False,CLIP_L,
0,49.34,73.42,82.34,205.10000000000002,31.17153138744502,55.54578168732507,66.54938024790084,153.26669332267093,358.3666933226709,0.48216601815823656,38.364659712,66.20196090137983,PiToMe,False,CLIP_L,
0,54.4,77.5,85.36,217.26,34.726109556177526,59.440223910435826,70.05197920831667,164.21831267493002,381.47831267493,0.6047341115434505,48.25030656,60.01079950130148,PiToMe,False,CLIP_L,
0,55.82,79.22,86.5,221.54,36.3014794082367,60.93562574970012,71.36745301879249,168.6045581767293,390.14455817672933,0.7786964980544737,62.452144128,53.16637014134273,PiToMe,False,CLIP_L,
0,32.84,56.34,66.66,155.84,21.759296281487405,42.94282287085166,53.834466213514595,118.53658536585365,274.37658536585366,0.39623865110246465,31.483457536,70.55425660726367,ToMe,False,CLIP_L,
0,45.28,69.72,78.9,193.9,28.492602958816473,52.530987604958014,63.69052379048381,144.7141143542583,338.6141143542583,0.48216601815823656,38.364659712,66.03411721999173,ToMe,False,CLIP_L,
0,51.36,75.84,84.0,211.2,32.46301479408237,57.44102359056377,68.01279488204717,157.91683326669332,369.1168332666933,0.6047341115434505,48.25030656,60.244380436181885,ToMe,False,CLIP_L,
0,55.2,78.48,86.22,219.9,35.55377848860456,60.28788484606157,70.63974410235906,166.48140743702518,386.38140743702525,0.7786964980544737,62.452144128,53.32326253568281,ToMe,False,CLIP_L,
0,69.32,89.28,94.24,252.83999999999997,51.779288284686125,77.91683326669332,85.87764894042382,215.57377049180326,468.41377049180323,0.6022530329289425,32.017910784,64.68220899055785,PiToMe,False,BLIP,
0,72.94,91.62,95.76,260.32,54.25829668132747,79.8360655737705,87.4250299880048,221.51939224310274,481.83939224310274,0.6786539572501431,36.280856064,62.335523390821436,PiToMe,False,BLIP,
0,74.9,92.86,96.38,264.14,55.921631347461016,81.05557776889245,88.2686925229908,225.24590163934425,489.3859016393443,0.7700751010976318,41.487277056,58.22934696869357,PiToMe,False,BLIP,
0,75.84,93.48,96.58,265.9,56.81727309076369,81.67932826869253,88.72451019592162,227.22111155537786,493.12111155537787,0.8769497400346612,47.72971008,54.392211994011426,PiToMe,False,BLIP,
0,59.82,82.32,88.76,230.89999999999998,44.99400239904038,71.7672930827669,80.78368652538984,197.54498200719712,428.4449820071971,0.6022530329289425,32.017910784,65.09102372655329,ToMe,False,BLIP,
0,63.86,85.56,91.58,241.0,48.10075969612155,74.19032387045182,82.63494602159136,204.92602958816474,445.92602958816474,0.6786539572501431,36.280856064,61.97930664197179,ToMe,False,BLIP,
0,67.84,89.02,94.04,250.90000000000003,50.599760095961614,76.50539784086365,84.5701719312275,211.67532986805276,462.5753298680528,0.7700751010976318,41.487277056,58.9804408540687,ToMe,False,BLIP,
0,71.54,90.9,95.16,257.6,52.86285485805678,78.38464614154339,86.24550179928029,217.49300279888047,475.0930027988805,0.8769497400346612,47.72971008,54.82742314109925,ToMe,False,BLIP,
0,40.8,70.62,80.64,192.06,36.173530587764894,63.7624950019992,74.53018792483007,174.46621351459416,366.52621351459413,0.25800098473658295,168.93665536,30.819794268109224,PiToMe,False,BLIP2,0.0
0,61.52,86.84,93.14,241.5,52.123150739704116,78.91643342662935,86.74930027988805,217.78888444622152,459.28888444622146,0.33208347536264804,217.65246976,25.88673627345407,PiToMe,False,BLIP2,0.0
0,70.2,92.5,96.56,259.26,60.03998400639744,84.06237504998,90.55577768892444,234.65813674530187,493.91813674530187,0.45161534674090104,296.93587968,20.366575458440696,PiToMe,False,BLIP2,0.0
0,73.4,93.98,97.24,264.62,62.79088364654138,85.76569372251099,91.65533786485406,240.21191523390644,504.83191523390644,0.6548877021550581,434.503587584,14.781182935684098,PiToMe,False,BLIP2,0.0
0,37.26,65.66,76.6,179.51999999999998,35.16993202718913,62.566973210715716,73.42263094762095,171.15953618552578,350.67953618552576,0.25800098473658295,168.93665536,30.92717697553763,ToMe,False,BLIP2,0.0
0,57.64,85.38,92.54,235.56,51.17952818872451,77.87285085965614,86.30547780887645,215.3578568572571,450.9178568572571,0.33208347536264804,217.65246976,25.948538122325584,ToMe,False,BLIP2,0.0
0,67.3,91.32,95.82,254.44,58.71651339464214,83.33066773290683,90.25189924030389,232.29908036785287,486.73908036785286,0.45161534674090104,296.93587968,20.241260636420513,ToMe,False,BLIP2,0.0
0,72.42,93.7,96.96,263.08,61.94722111155538,85.24190323870452,91.38344662135145,238.57257097161136,501.65257097161134,0.6548877021550581,434.503587584,14.750668585557905,ToMe,False,BLIP2,0.0
