,test/r1_i2t,test/r5_i2t,test/r10_i2t,test/r_i2t,test/r1_t2i,test/r5_t2i,test/r10_t2i,test/r_t2i,test/r_all,eval memory,gflops,sample/sec,algo,model,epoch
0,46.7,70.82,80.14,197.66,29.432227109156337,53.874450219912035,65.17792882846861,148.48460615753697,346.144606157537,0.6095600676818961,10.496008704,89.32668428068023,PiToMe,CLIP_B,
0,48.66,74.14,82.6,205.39999999999998,30.99560175929628,55.86165533786485,67.0171931227509,153.87445021991203,359.274450219912,0.69035532994924,11.913403392,89.89806486942838,PiToMe,CLIP_B,
0,50.8,75.44,83.68,209.92000000000002,32.123150739704116,57.165133946421435,67.91283486605357,157.20111955217914,367.12111955217915,0.7791878172588852,13.48366848,87.19599896416833,PiToMe,CLIP_B,
0,52.12,76.78,84.22,213.12,32.83086765293883,58.080767692922834,68.85245901639344,159.7640943622551,372.8840943622551,0.8887478849407793,15.439108608,85.1479397705913,PiToMe,CLIP_B,
0,43.64,68.66,78.0,190.3,27.013194722111155,50.64774090363854,62.22710915633746,139.88804478208715,330.18804478208716,0.6095600676818961,10.496008704,91.66995119564905,ToMe,CLIP_B,
0,45.64,70.6,80.06,196.3,28.42862854858057,53.146741303478606,64.53818472610956,146.11355457816873,342.4135545781687,0.69035532994924,11.913403392,89.32613867483157,ToMe,CLIP_B,
0,47.68,72.12,81.12,200.92000000000002,30.1359456217513,54.546181527389045,65.57377049180327,150.2558976409436,351.1758976409436,0.7791878172588852,13.48366848,87.04869162909091,ToMe,CLIP_B,
0,49.64,73.48,82.56,205.68,31.283486605357858,56.04158336665334,67.10515793682526,154.43022790883646,360.11022790883646,0.8887478849407793,15.439108608,85.00247806620789,ToMe,CLIP_B,
0,30.46,54.72,65.64,150.82,19.25229908036785,40.81967213114754,52.171131547381044,112.24310275889644,263.06310275889643,0.6095600676818961,10.496008704,89.08702241782734,dct,CLIP_B,
0,36.74,61.48,71.82,170.04,22.938824470211916,45.929628148740505,57.42902838864454,126.29748100759696,296.337481007597,0.69035532994924,11.913403392,86.70457916538102,dct,CLIP_B,
0,41.1,66.46,76.06,183.62,25.453818472610955,49.480207916833265,60.64774090363854,135.58176729308278,319.20176729308275,0.7791878172588852,13.48366848,84.11467576265053,dct,CLIP_B,
0,43.44,68.86,78.36,190.66,27.041183526589364,51.12754898040784,62.48700519792083,140.65573770491804,331.31573770491804,0.8887478849407793,15.439108608,81.58045957784763,dct,CLIP_B,
0,52.54,76.5,84.66,213.7,32.998800479808075,58.31267493002799,69.0483806477409,160.35985605757696,374.05985605757695,1.0,17.44745472,83.81912561773306,none,CLIP_B,
0,52.54,76.5,84.66,213.7,32.998800479808075,58.31267493002799,69.0483806477409,160.35985605757696,374.05985605757695,1.0,17.44745472,83.77781493509316,none,CLIP_B,
