,flops,loss,acc1,acc5,algo,model
0,17.56441879272461,0.8167701331459409,81.87409625058552,95.63349015295005,baseline,DeiT-B-16
0,7.554790019989014,1.3346500379767845,72.00668010834809,89.73340665159569,DiffRate,DeiT-B-16
0,8.698878288269043,1.132033152187743,75.94550009164783,92.14272621738864,DiffRate,DeiT-B-16
0,9.880146026611328,1.0197732111787408,78.06154660801205,93.44819861102626,DiffRate,DeiT-B-16
0,11.400763511657715,0.9345173615265668,79.6826948534653,94.41966558725892,DiffRate,DeiT-B-16
0,13.107222557067871,0.8770621025223073,80.82931101199569,94.93900327895562,DiffRate,DeiT-B-16
0,15.2506103515625,0.8384253846072569,81.46269933402579,95.4339015498666,DiffRate,DeiT-B-16
0,7.5034918785095215,1.2904535493230431,73.75002545772999,90.5602737215128,PiToMe,DeiT-B-16
0,8.526642799377441,1.0840505821918085,77.60534408667849,92.92275106413311,PiToMe,DeiT-B-16
0,9.744050979614258,0.9770447299247835,79.34257958086393,94.16305166900878,PiToMe,DeiT-B-16
0,11.197975158691406,0.9010023126393799,80.69693081607299,94.85142868780676,PiToMe,DeiT-B-16
0,12.94049072265625,0.8597009211657493,81.26514734934115,95.32799739312846,PiToMe,DeiT-B-16
0,15.035991668701172,0.830200474133821,81.80281460662715,95.53776908820595,PiToMe,DeiT-B-16
0,7.5034918785095215,1.1599063226362554,75.79479033013584,91.98997983747785,ToMe,DeiT-B-16
0,8.526642799377441,1.0289373086477682,78.12060854157757,93.54595629416916,ToMe,DeiT-B-16
0,9.744050979614258,0.9489915214660691,79.62159630150099,94.24858964175883,ToMe,DeiT-B-16
0,11.197975158691406,0.8915475471838703,80.57269709374555,94.82698926702103,ToMe,DeiT-B-16
0,12.94049072265625,0.8558074056617613,81.22848821816257,95.1080426060569,ToMe,DeiT-B-16
0,15.035991668701172,0.8280024140225193,81.62970204272825,95.44408464186066,ToMe,DeiT-B-16
0,4.59917688369751,0.8773200440455259,79.88432007494755,95.00010183091995,baseline,DeiT-B-16
0,1.9707640409469604,1.242058586177787,72.64210504877701,90.91464532290584,DiffRate,DeiT-B-16
0,2.2661805152893066,1.1240326989956988,74.79888393311745,92.2669599397161,DiffRate,DeiT-B-16
0,2.572518825531006,1.0481278406895274,76.42003217857071,93.16103541679395,DiffRate,DeiT-B-16
0,2.9689059257507324,0.9889105987258073,77.52998920592249,93.81478992281217,DiffRate,DeiT-B-16
0,3.4163365364074707,0.9423398491812915,78.5707012077147,94.29339524653265,DiffRate,DeiT-B-16
0,3.9825515747070312,0.902615578799713,79.38738518563777,94.70886539989002,DiffRate,DeiT-B-16
0,1.9577302932739258,1.099559167415146,75.88643815808231,92.76185821062707,PiToMe,DeiT-B-16
0,2.2219066619873047,1.0137029746925927,77.57479481069632,93.67833649009185,PiToMe,DeiT-B-16
0,2.5374321937561035,0.9643000812549901,78.41184497260748,94.20378403698498,PiToMe,DeiT-B-16
0,2.916064739227295,0.9276571713569688,79.03912343944116,94.61721757194354,PiToMe,DeiT-B-16
0,3.3725814819335938,0.9041327291387853,79.44848373760209,94.73330482067576,PiToMe,DeiT-B-16
0,3.925678014755249,0.8856648508368469,79.73768355023319,94.96344269974135,PiToMe,DeiT-B-16
