dataset,model,algo,gflops,ratio,acc,eval time,train time
imdb, distilbert-base-uncased, pitome, 13.515487594134502, 0.8, 92.59836852207296, 42.14255475997925, 1534.086719751358
imdb, distilbert-base-uncased, tome, 13.476089222142253, 0.8, 92.64235444657717, 40.213470458984375, 1477.4875319004059
imdb, distilbert-base-uncased, diffrate, 13.495955946380256, 0.8, 92.57837492002565, 40.3295681476593, 1483.977779865265
imdb, distilbert-base-uncased, none, 23.5034224119157, 1.0, 93.27015355086435, 59.204756021499634, 2320.0145168304443
imdb, distilbert-base-uncased, pitome, 9.802024230817652, 0.7, 91.51471529110691, 36.7263298034668, 1299.875262260437
imdb, distilbert-base-uncased, tome, 9.80699721802686, 0.7, 91.01258797184895, 34.6288959980011, 1243.8402605056763
imdb, distilbert-base-uncased, diffrate, 9.79946818972744, 0.7, 91.75663787587983, 34.197558641433716, 1250.0000627040863
