model, algo, gflops, ratio ,acc_1
DEIT-T-16-224, tome, 0.8088264959999961, 0.925, 70.60
DEIT-T-16-224, tofu, 0.8088264959999961, 0.925, 70.43
DEIT-T-16-224, pitome, 0.8093360640000006, 0.925, 71.25
DEIT-T-16-224, dct, 0.0, 0.925, 68.70
