model,ratio,dataset,algo,acc,eval time
llava-v1.5-7b,0.925,mme,tome,1365.1330532212883,86.69264388084412
llava-v1.5-7b,0.95,mme,tome,1417.8499399759903,95.39861845970154
llava-v1.5-7b,0.975,mme,tome,1436.3753501400558,125.23917555809021
llava-v1.5-7b,0.85,mme,pitome,1058.2731092436975,80.42811489105225
llava-v1.5-7b,0.875,mme,pitome,1187.2175870348137,80.29291915893555
llava-v1.5-7b,0.9,mme,pitome,1310.3866546618647,80.73193168640137
llava-v1.5-7b,0.925,mme,pitome,1394.7052821128452,88.34331250190735
llava-v1.5-7b,0.95,mme,pitome,1436.627450980392,95.44343876838684
llava-v1.5-7b,0.975,mme,pitome,1488.2244897959185,126.17588114738464
llava-v1.5-7b,0.85,scienceqa_img,tome,0.6648487853247397,61.32038640975952
llava-v1.5-7b,0.875,scienceqa_img,tome,0.6712940009915717,62.527772426605225
llava-v1.5-7b,0.9,scienceqa_img,tome,0.6831928606841844,65.14449000358582
llava-v1.5-7b,0.925,scienceqa_img,tome,0.6851760039662865,66.88060450553894
llava-v1.5-7b,0.95,scienceqa_img,tome,0.6792265741199802,82.55025124549866
llava-v1.5-7b,0.975,scienceqa_img,tome,0.6851760039662865,95.58461833000183
llava-v1.5-7b,0.85,scienceqa_img,pitome,0.6673277144273674,61.85032415390015
llava-v1.5-7b,0.875,scienceqa_img,pitome,0.6772434308378781,65.01593232154846
llava-v1.5-7b,0.9,scienceqa_img,pitome,0.6817055032226078,67.72583389282227
llava-v1.5-7b,0.925,scienceqa_img,pitome,0.6866633614278632,83.3295226097107
llava-v1.5-7b,0.95,scienceqa_img,pitome,0.6881844323252355,94.91706132888794
llava-v1.5-7b,0.975,scienceqa_img,pitome,0.6911844323252355,94.91706132888794
llava-v1.5-7b,0.85,mme,tome,1049.3394357743095,79.93383002281189
llava-v1.5-7b,0.875,mme,tome,1218.0334133653462,78.59457993507385
llava-v1.5-7b,0.9,mme,tome,1303.080632252901,79.65978813171387
llava-v1.5-7b,0.925,mme,tome,1374.9168667466988,87.22330045700073
llava-v1.5-7b,0.95,mme,tome,1419.7227891156465,95.49547004699707
llava-v1.5-7b,0.975,mme,tome,1426.8638455382152,125.28425359725952
llava-v1.5-7b,0.85,mme,pitome,1054.4250700280113,81.03682565689087
llava-v1.5-7b,0.875,mme,pitome,1181.6148459383755,80.9780490398407
llava-v1.5-7b,0.9,mme,pitome,1302.6739695878352,80.46138453483582
llava-v1.5-7b,0.925,mme,pitome,1385.919567827131,86.54103636741638
llava-v1.5-7b,0.95,mme,pitome,1449.436274509804,95.85681557655334
llava-v1.5-7b,0.975,mme,pitome,1488.267206882753,126.12693929672241
llava-v1.5-7b,0.85,scienceqa_img,tome,0.6444408577094695,61.04872727394104
llava-v1.5-7b,0.875,scienceqa_img,tome,0.6782350024789291,61.667890548706055
