dataset,model,algo,gflops,ratio,txt_r1,txt_r5,txt_r10,img_r1,img_r5,img_r10,r_sum,train time,eval time
flickr,CLIP,none,80.857841664,1.0,92.9,99.1,99.8,81.34,95.86,98.32,567.3199999999999,15605.06858587265,25.77079200744629
flickr,CLIP,pitome,38.364659712,0.925,93.0,98.8,99.7,78.66,94.96,97.32,562.4399999999999,8723.23906993866,18.49927830696106
flickr,CLIP,tome,38.364659712,0.925,90.2,98.1,99.0,77.8,95.02,97.7,557.82,8814.767184257507,18.461413145065308
flickr,CLIP,tofu,38.364659712,0.925,91.1,98.1,99.1,77.8,94.62,97.26,557.98,9360.882838726044,18.4895236492157
flickr,CLIP,dct,38.364659712,0.925,85.0,96.3,98.4,71.84,91.3,95.1,537.94,11377.156722784042,19.812219858169556
coco,CLIP,none,80.857841664,1.0,70.78,90.44,95.08,53.79048380647741,80.35585765693723,88.07277089164334,478.51911235505804,61044.700020074844,130.58836460113525
coco,CLIP,pitome,38.364659712,0.925,67.64,89.12,93.94,51.39944022391044,78.6125549780088,86.98120751699321,467.69320271891246,34098.8564248085,93.87886357307434
coco,CLIP,tome,38.364659712,0.925,66.82,88.26,93.56,50.387844862055175,77.95681727309076,86.68532586965213,463.66998800479814,34433.432809114456,94.27240991592407
