,test/r1_i2t,test/r5_i2t,test/r10_i2t,test/r_i2t,test/r1_t2i,test/r5_t2i,test/r10_t2i,test/r_t2i,test/r_all,eval memory,gflops,sample/sec,algo,model
0,42.62,67.52,76.64,186.77999999999997,26.789284286285486,50.199920031987205,61.28348660535786,138.27269092363056,325.0526909236305,0.5461082910321481,9.389778432,91.57529447237832,PiToMe,CLIP_B
0,46.68,70.84,80.16,197.68,29.460215913634546,53.89444222311076,65.18192722910835,148.53658536585365,346.21658536585363,0.6095600676818961,10.496008704,90.3585753513106,PiToMe,CLIP_B
0,48.66,74.14,82.6,205.39999999999998,31.00359856057577,55.86165533786485,67.0091963214714,153.87445021991203,359.274450219912,0.69035532994924,11.913403392,90.05427749466031,PiToMe,CLIP_B
0,50.78,75.4,83.7,209.88,32.123150739704116,57.165133946421435,67.91683326669332,157.20511795281885,367.0851179528188,0.7791878172588852,13.48366848,87.26316010752971,PiToMe,CLIP_B
0,52.12,76.78,84.24,213.14,32.83086765293883,58.064774090363855,68.85245901639344,159.74810075969611,372.8881007596961,0.8887478849407793,15.439108608,84.17598782604006,PiToMe,CLIP_B
0,38.74,63.46,73.92,176.12,24.010395841663335,46.94522191123551,58.25669732107157,129.21231507397042,305.3323150739704,0.5461082910321481,9.389778432,92.70879928893217,ToMe,CLIP_B
0,43.66,68.66,78.04,190.36,27.021191523390645,50.69172331067573,62.255097960815675,139.96801279488204,330.32801279488206,0.6095600676818961,10.496008704,91.39927238639048,ToMe,CLIP_B
0,45.64,70.62,80.1,196.36,28.43262694922031,53.15073970411835,64.54618152738904,146.12954818072768,342.4895481807277,0.69035532994924,11.913403392,89.39619391980455,ToMe,CLIP_B
0,47.66,72.06,81.1,200.82,30.099960015993602,54.53418632546981,65.55377848860456,150.18792483006797,351.00792483006796,0.7791878172588852,13.48366848,87.65346703498628,ToMe,CLIP_B
0,49.62,73.48,82.54,205.64,31.303478608556578,56.02958816473411,67.10515793682526,154.43822471011595,360.07822471011593,0.8887478849407793,15.439108608,85.22692313638159,ToMe,CLIP_B
0,23.92,46.72,58.28,128.92000000000002,16.017592962814874,35.77768892443023,46.3734506197521,98.1687325069972,227.08873250699725,0.5461082910321481,9.389778432,90.63155850824093,dct,CLIP_B
0,30.46,54.72,65.64,150.82,19.25229908036785,40.81967213114754,52.171131547381044,112.24310275889644,263.06310275889643,0.6095600676818961,10.496008704,88.35048179519447,dct,CLIP_B
0,36.74,61.48,71.82,170.04,22.938824470211916,45.929628148740505,57.42902838864454,126.29748100759696,296.337481007597,0.69035532994924,11.913403392,85.93561273953236,dct,CLIP_B
0,41.1,66.46,76.06,183.62,25.453818472610955,49.480207916833265,60.64774090363854,135.58176729308278,319.20176729308275,0.7791878172588852,13.48366848,83.17830515461631,dct,CLIP_B
0,43.44,68.86,78.36,190.66,27.041183526589364,51.12754898040784,62.48700519792083,140.65573770491804,331.31573770491804,0.8887478849407793,15.439108608,81.02586001132457,dct,CLIP_B
0,52.54,76.5,84.66,213.7,32.998800479808075,58.31267493002799,69.0483806477409,160.35985605757696,374.05985605757695,1.0,17.44745472,83.01110148479947,baseline,CLIP_B
0,52.54,76.5,84.66,213.7,32.998800479808075,58.31267493002799,69.0483806477409,160.35985605757696,374.05985605757695,1.0,17.44745472,83.12453556491644,baseline,CLIP_B
